bmass	gutcapac
# Regression equation for time and digestion-limited herbivores.
# Body mass (kg) vs. Digestive organ capacity (g wet)
# gutcapac= 90.0 bmass.kg^1.01. N= 61; r= 0.98
# Van Soest (1996).
#
1.673e-4	0.010
2.699e-4	0.065
3.946e-4	0.085
7.854e-4	0.165
0.001	0.112
0.025	5.197
0.028	5.197
0.034	4.443
0.142	5.833
0.187	11.199
0.292	33.067
0.342	47.772
0.546	32.238
0.626	55.976
0.591	65.480
0.703	67.163
0.879	74.647
0.503	103.528
1.123	109.144
1.325	94.425
1.364	125.923
1.565	116.426
2.209	215.285
2.842	161.170
2.967	258.792
2.764	363.161
3.191	293.991
3.793	339.745
4.019	409.166
3.215	499.525
7.286	758.000
10.227	864.302
14.007	591.132
13.332	1198.443
12.594	1366.512
11.974	1711.173
0.001	0.030
18.978	3954.879
20.110	2808.417
25.683	2077.457
37.558	4049.869
35.444	6868.405
42.406	5570.509
51.546	5713.701
48.645	7530.501
57.020	4953.405
57.243	6363.585
48.021	4080.053
93.437	13078.174
116.926	13787.601
107.194	16570.498
137.944	21834.934
185.480	29517.619
228.202	38440.480
252.408	30338.869
302.295	29172.455
367.447	26247.611
400.035	64724.617
514.789	62236.062
514.789	80916.430
594.407	90827.656
962.424	1.493e5
2001.222	2.092e5
761.463	18265.617
