# Regression equation for time and digestion-limited herbivores.
# Body mass (kg) vs. Mean gut retention time (h).
# gutret.h= 0.57 + 6.95 bmass.kg^0.33 + (0.33 + 0.43 * bmass^0.33)^0.5
#
bmass	retention
162.872	85.836
269.437	86.164
345.521	72.796
372.209	62.870
514.180	69.934
689.051	35.550
319.758	34.022
246.464	39.829
37.386	17.600
72.636	20.832
4.859	10.861
2.448	8.652
0.980	6.200
0.587	8.344
0.327	6.200
0.029	5.678
0.035	4.845
0.030	3.718
0.028	3.774
0.020	3.199
0.025	2.643
0.030	2.566
0.002	2.874
0.002	3.584
7.949e-4	2.324
0.001	1.933
3.951e-4	2.518
2.670e-4	2.264
1.727e-4	1.822
107.567	15.786
