bmass	gutcapac
1.659e-4	0.010
2.644e-4	0.062
3.916e-4	0.086
7.613e-4	0.162
0.001	0.108
0.024	5.285
0.028	5.285
0.034	4.453
0.185	11.530
0.143	6.177
0.294	35.806
0.340	52.331
0.529	35.016
0.617	57.544
0.585	69.566
0.708	72.870
0.888	82.756
0.481	106.946
1.115	115.697
1.360	137.932
1.511	131.393
1.348	94.907
2.671	178.250
2.243	245.750
2.887	265.859
2.691	384.775
3.318	322.748
3.752	372.494
4.020	450.402
3.226	571.501
7.153	884.169
9.972	974.188
14.102	619.611
13.393	1375.608
12.722	1540.300
12.501	1954.795
20.279	3030.303
18.781	4410.438
25.700	2320.358
38.515	4454.613
49.566	4454.613
52.824	5675.934
58.627	7217.700
49.187	8330.150
43.169	6369.314
35.669	7668.057
91.328	14514.483
114.482	15992.202
141.320	25299.246
191.264	34734.457
233.513	45435.941
248.303	35504.535
306.181	33895.004
368.156	29304.658
774.435	20167.359
416.719	70831.094
496.700	70985.328
518.374	92838.719
600.421	1.037e5
942.626	1.747e5
2020.286	2.404e5
