bmass	retention
1.789e-4	1.291e-19
2.764e-4	2.883e-19
4.157e-4	4.442e-19
8.379e-4	3.375e-19
0.001	1.586e-19
0.032	4.816e-19
0.026	5.054e-19
0.021	1.111e-18
0.032	1.886e-18
0.029	2.069e-18
0.037	5.065e-18
0.031	9.804e-18
0.350	1.311e-17
1.025	1.217e-17
0.603	4.048e-17
5.204	1.085e-16
0.002	1.566e-18
0.002	7.123e-19
39.428	6.789e-16
74.826	1.247e-15
113.898	4.336e-16
2.518	4.671e-17
259.062	1.506e-14
340.082	8.796e-15
398.706	8.280e-14
365.233	1.440e-13
537.969	1.288e-13
288.483	2.698e-13
179.465	2.698e-13
730.748	9.412e-15
