# Data from van Soest (1986).
# log(Body mass-kg) vs log(Gut capacity-kg)
bmass	gutcapac
3.703	2.699
3.132	2.458
2.855	2.030
2.720	1.907
2.720	1.950
2.739	1.811
2.719	1.853
2.595	1.787
2.665	1.612
2.520	1.791
2.446	1.777
2.409	1.777
2.455	1.538
2.342	1.538
2.298	1.516
2.317	1.459
2.230	1.342
2.174	1.363
2.124	1.247
2.055	1.247
1.948	0.914
1.867	1.004
1.866	1.033
1.746	1.033
1.678	0.699
1.697	0.763
1.585	0.791
1.470	0.423
1.286	0.403
1.286	0.294
1.267	0.096
0.854	-0.210
0.854	-0.210
0.468	-0.364
0.322	-0.385
0.651	-0.612
0.543	-0.612
0.429	-0.656
0.195	-0.612
0.052	-0.677
0.033	-0.917
-0.048	-0.903
0.102	-1.081
-0.233	-0.961
-0.162	-1.251
-0.593	-1.455
-0.679	-1.542
-0.710	-1.774
-0.900	-1.774
-1.012	-2.094
-0.734	-2.211
-1.127	-2.167
-1.272	-2.246
-1.518	-2.145
-1.699	-2.455
-1.484	-2.514
-1.798	-2.594
-1.783	-2.688
-1.832	-2.860
