# Genetics datset. Mixing Duminil et al. 2007 and our own compiliation for brazilian species.
# Excluded Microthlaspi perfoliatum (Gst=1.0)
n	sp	gst_nr	syndr	syndrcontr	contr1	contr2	hightax	subclass	ord	fam	spgen	longev	gform	polldisp	seeddisp	seedwt
1	Abies alba	0.0880	W	Abiotic	Abiotic	Abiotic	G	Coniferopsida	Coniferales	Pinaceae	49	LP	T	A	W	76.800
2	Abies fraseri	0.0020	W	Abiotic	Abiotic	Abiotic	G	Coniferopsida	Coniferales	Pinaceae	49	LP	T	A	W	7.100
3	Abies mariesii	0.1440	W	Abiotic	Abiotic	Abiotic	G	Coniferopsida	Coniferales	Pinaceae	49	LP	T	A	W	29.810
4	Abies sachalinensis	0.0150	W	Abiotic	Abiotic	Abiotic	G	Coniferopsida	Coniferales	Pinaceae	49	LP	T	A	W	9.320
5	Acacia acuminata	0.1010	AI	Endozoochoric	Zoochoric	Zoochoric	D	Rosidae	Fabales	Fabaceae	1200	LP	S	E	NA	16.200
6	Allium vineale	0.3900	G	Abiotic	Abiotic	Abiotic	M	Liliidae	Asparagales	Alliaceae	690	SP	G	E	G	1.000
7	Alnus cordata	0.1240	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Fagales	Betulaceae	25	LP	T	A	W	6.800
8	Alnus glutinosa	0.2000	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Fagales	Betulaceae	25	LP	T	A	W	2.100
9	Anacamptis palustris	0.1790	W	Abiotic	Abiotic	Abiotic	M	Liliidae	Asparagales	Orchidaceae	33	SP	F	E	W	0.001
10	Arabidopsis thaliana	0.6163	G	Abiotic	Abiotic	Abiotic	D	Rosidae	Brassicales	Brassicaceae	20	A	F	E	G	0.020
11	Argania spinosa	0.1800	AI	Endozoochoric	Zoochoric	Zoochoric	D	Asteridae	Ericales	Sapotaceae	1	LP	T	E	AI	3000.000
12	Aucoumea klaineana	0.1400	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Sapindales	Burseraceae	1	LP	T	E	W	98.000
13	Beta vulgaris	0.1000	W	Abiotic	Abiotic	Abiotic	D	Caryophyllidae	Caryophyllales	Chenopodiaceae	12	B	F	A	W	5.000
14	Betula pendula	0.0320	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Fagales	Betulaceae	35	LP	T	A	W	0.250
15	Caesalpinia echinata	0.5800	G	Abiotic	Abiotic	Abiotic	D	Rosidae	Fabales	Fabaceae	150	LP	T	E	G	303.000
16	Calluna vulgaris	0.0470	W	Abiotic	Abiotic	Abiotic	D	Asteridae	Ericales	Ericaceae	1	LP	S	AE	NA	0.030
17	Carpinus betulus	0.0740	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Fagales	Betulaceae	26	LP	T	A	W	35.500
18	Caryocar brasiliensis	0.2900	M	Megafauna	Megafauna	Megafauna dependent	D	Rosidae	Malpighiales	Caryocaraceae	15	LP	T	Z	G	50.270
19	Castanea sativa	0.1970	AC	Synzoochoric	Zoochoric	Zoochoric	D	Rosidae	Fagales	Fagaceae	10	LP	T	AE	AC	9944.000
20	Cedrela odorata	0.5500	W	Abiotic	Abiotic	Abiotic	D	Rosidae	Sapindales	Meliaceae	8	LP	T	E	W	17.000
21	Coreopsis grandiflora	0.0720	W	Abiotic	Abiotic	Abiotic	D	Asteridae	Asterales	Asteraceae	50	A	F	E	W	2.580
22	Coreopsis nuecensis	0.1000	W	Abiotic	Abiotic	Abiotic	D	Asteridae	Asterales	Asteraceae	15	A	F	E	W	1.221
23	Corylus avellana	0.1970	AC	Endozoochoric	Zoochoric	Zoochoric	D	Rosidae	Fagales	Betulaceae	15	LP	S	A	AI	1262.400
24	Cunninghamia konishii	0.0290	AC	Synzoochoric	Zoochoric	Zoochoric	G	Coniferopsida	Coniferales	Taxodiaceae	2	LP	T	A	AC	11.430
25	Cunninghamia lanceolata	0.0600	W	Abiotic	Abiotic	Abiotic	G	Coniferopsida	Coniferales	Taxodiaceae	2	LP	T	A	W	4.830
