id	idpaper	data	fam	sp	spcode	marker	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	diverhaplot	divernucleot	genetdiff	AllelesLocus	Porcpoliloci 	AllelicRichness	FIS 	phi_FT	seedwt
246	248	rosanne	Acanthaceae	Avicennia bicolor	AVBICO	nucl	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	0.570	NA	NA	NA	NA	NA	NA
247	248	rosanne	Acanthaceae	Avicennia bicolor	AVBICO	chlorop	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	NA	NA	NA	NA	NA	NA	NA
248	248	rosanne	Acanthaceae	Avicennia bicolor	AVBICO	ssrnuc	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	0.490	NA	NA	1.680	0.220	NA	NA
249	248	rosanne	Acanthaceae	Avicennia germinans	AVGERM	nucl	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	0.570	NA	NA	NA	NA	NA	NA
250	248	rosanne	Acanthaceae	Avicennia germinans	AVGERM	chlorop	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	NA	NA	NA	NA	NA	NA	NA
251	248	rosanne	Acanthaceae	Avicennia germinans	AVGERM	ssrnuc	Tree	hidrochory 	hi	ab	small bees	sbe	wide	Mangrooves	NA	NA	0.490	NA	NA	3.770	0.010	NA	NA
185	2	rosanne	Anacardiaceae	Myracrodruon urundeuva	MYURUN	isoz	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	NA	NA	NA	1.450	0.317	NA	NA
244	23	rosanne	Anacardiaceae	Myracrodruon urundeuva	MYURUN	ssrnuc	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	0.160	18.750	NA	6.460	0.077	NA	NA
245	23	rosanne	Anacardiaceae	Myracrodruon urundeuva	MYURUN	chlorop	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	0.970	NA	NA	NA	NA	NA	NA
403	15	rosanne	Anacardiaceae	Myracrodruon urundeuva	MYURUN	isoz	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	0.040	2.330	61.500	NA	-0.156	NA	NA
NA	78	rosanne	Anarcadiaceae	Myracrodruon urundeuva	MYURUN	ssrnuc	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	79	rosanne	Anarcadiaceae	Myracrodruon urundeuva	MYURUN	AFLP	Tree	wind	wi	ab	small bees	sbe	wide	sdtf	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	10	rosanne	Anacardiaceae	Spondias mombin	SPMOMB	nucl	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	0.95800	0.02047	NA	NA	NA	NA	NA	NA	NA
107	10	rosanne	Anacardiaceae	Spondias mombin	SPMOMB	chlorop	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	199	rosanne	Anacardiaceae	Spondias mombin	SPMOMB	isoz	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	221	rosanne	Anacardiaceae	Spondias mombin	SPMOMB	isoz	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	10	rosanne	Anacardiaceae	Spondias purpurea	SPPURP	nucl	Tree	mammals	ma	md	small bees	sbe	wide	sdtf	0.95800	0.02047	NA	NA	NA	NA	NA	NA	NA
108	10	rosanne	Anacardiaceae	Spondias purpurea	SPPURP	chlorop	Tree	mammals	ma	md	small bees	sbe	wide	sdtf	NA	NA	NA	NA	NA	NA	NA	NA	NA
224	239	rosanne	Anacardiaceae	Spondias purpurea	SPPURP	AFLP	Tree	mammals	ma	md	small bees	sbe	wide	sdtf	NA	NA	0.360	NA	79.800	NA	0.990	NA	NA
122	179	rosanne	Annonaceae	Annona cherimola	ANCHER	ssrnuc	Tree	mammals	ma	mi	beetle	beet	wide	sdtf	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	8	rosanne	Annonaceae	Annona crassiflora	ANCRAS	isoz	Tree	mammals	ma	mi	beetle	beet	wide	savanna	NA	NA	0.130	NA	80.000	NA	0.017	NA	NA
NA	NA	rosanne	Annonaceae	Annona crassiflora	ANCRAS	ssrnuc	Tree	mammals	ma	mi	beetle	beet	wide	savanna	NA	NA	NA	16.000	NA	15.200	0.057	NA	NA
NA	NA	rosanne	Annonaceae	Annona crassiflora	ANCRAS	ssrnuc	Tree	mammals	ma	mi	beetle	beet	wide	savanna	NA	NA	NA	14.200	NA	13.500	0.173	NA	NA
NA	NA	rosanne	Annonaceae	Annona crassiflora	ANCRAS	ssrnuc	Tree	mammals	ma	mi	beetle	beet	wide	savanna	NA	NA	0.240	15.100	NA	14.300	0.132	NA	NA
53	272	rosanne	Apiaceae	Mulinum spinosum	MUSPIN	chlorop	Shrub	autochory	au	ab	small bees	sbe	restric	dry areas	0.81500	0.00227	0.020	NA	NA	NA	NA	NA	NA
179	150	rosanne	Apocynaceae	Mandevilla velutina	MAVELU	RAPD	Creeper	wind	wi	ab	large bees	lbe	restric	savanna	NA	NA	0.190	NA	81.080	NA	NA	NA	NA
124	253	rosanne	Araceae	Anthurium pentaphyllum	ANPENT	AFLP	Epiphyte	birds	bi	b	flies	flies	wide	rainforest	NA	NA	0.160	NA	51.920	NA	0.990	NA	NA
125	253	rosanne	Araceae	Anthurium sinuatum	ANSINU	AFLP	Epiphyte	birds	bi	b	flies	flies	wide	rainforest	NA	NA	0.160	NA	48.810	NA	0.985	NA	NA
184	229	rosanne	Araceae	Monstera adansonii 	MOADAN	AFLP	Epiphyte	mammals	ma	mi	large bees	lbe	wide	rainforest	NA	NA	0.190	NA	88.790	NA	NA	NA	NA
154	90	rosanne	Araliaceae	Dendropanax arboreus	DEARBO	RAPD	Tree	birds	bi	b	small bees	sbe	restric	sdtf	NA	NA	0.030	NA	NA	NA	NA	NA	NA
117	157	rosanne	Arecaceae	Acrocomia aculeata	ACACUL	RAPD	Palm	mammals	ma	md	small bees	sbe	wide	sdtf	NA	NA	0.170	4.200	79.150	6.130	NA	NA	NA
326	211	rosanne	Arecaceae	Acrocomia aculeata	ACACUL	ssrnuc	Palm	mammals	ma	md	small bees	sbe	wide	mixed	NA	NA	NA	NA	NA	NA	NA	NA	NA
417	291	rosanne	Arecaceae	Attalea phalerata	ATPHAL	ssrnuc	Palm	mammals	ma	md	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
129	120	rosanne	Arecaceae	Bactris gasipaes	BAGASI	ssrnuc	Palm	mammals	ma	md	small bees	sbe	restric	rainforest	NA	NA	NA	9.350	NA	NA	NA	NA	NA
130	147	rosanne	Arecaceae	Bactris gasipaes 	BAGASI	AFLP	Palm	mammals	ma	md	small bees	sbe	restric	rainforest	NA	NA	0.020	NA	70.900	NA	NA	NA	NA
131	149	rosanne	Arecaceae	Bactris gasipaes 	BAGASI	ssrnuc	Palm	mammals	ma	md	small bees	sbe	restric	rainforest	NA	NA	0.020	13.090	NA	NA	0.182	NA	NA
NA	177	rosanne	Arecaceae	Butia eriospatha	BUERIO	ssrnuc	Palm	mammals	ma	md	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
133	45	rosanne	Arecaceae	Butia lallemantii	BULALLE	ISSR	Palm	mammals	ma	md	small bees	sbe	restric	Grasslands	NA	NA	0.060	NA	95.800	NA	NA	NA	NA
134	45	rosanne	Arecaceae	Butia paraguayensis	BUPARA	ISSR	Palm	mammals	ma	md	small bees	sbe	restric	Grasslands	NA	NA	0.060	NA	95.800	NA	NA	NA	NA
135	45	rosanne	Arecaceae	Butia yatay	BUYATA	ISSR	Palm	mammals	ma	md	small bees	sbe	restric	Grasslands	NA	NA	0.060	NA	95.800	NA	NA	NA	NA
23	69	rosanne	Arecaceae	Ceroxylon echinulatum 	CEECHI	ssrnuc	Palm	birds	bi	b	small bees	sbe	restric	Andean	NA	NA	0.540	NA	NA	2.350	NA	NA	NA
144	64	rosanne	Arecaceae	Chamaedorea elatior	CHELAT	isoz	Palm	birds	bi	b	small bees	sbe	wide	rainforest	NA	NA	0.030	2.890	86.430	1.576	0.501	NA	NA
382	204	rosanne	Arecaceae	Chamaedorea elatior	CHELAT	isoz	Palm	birds	bi	b	small bees	sbe	wide	sdtf	NA	NA	NA	11.000	NA	NA	NA	NA	NA
145	194	rosanne	Arecaceae	Chamaedorea ernesti-augusti	CHERNE	ssrnuc	Palm	birds	bi	b	small bees	sbe	wide	sdtf	NA	NA	0.080	6.900	NA	NA	0.384	NA	NA
146	64	rosanne	Arecaceae	Chamaedorea tepejilote	CHTEPE	isoz	Palm	birds	bi	b	small bees	sbe	wide	rainforest	NA	NA	0.150	3.110	93.830	1.833	0.443	NA	NA
383	203	rosanne	Arecaceae	Chamaedorea tepejilote	CHTEPE	isoz	Palm	birds	bi	b	small bees	sbe	wide	rainforest	NA	NA	NA	7.000	NA	NA	NA	NA	NA
161	148	rosanne	Arecaceae	Euterpe edulis	EUEDUL	AFLP	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	0.430	NA	92.070	NA	NA	NA	NA
162	135	rosanne	Arecaceae	Euterpe edulis	EUEDUL	ssrnuc	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	NA	14.430	NA	NA	0.111	NA	NA
69	154	rosanne	Arecaceae	Euterpe edulis	EUEDUL	isoz	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	NA	2.600	62.500	NA	0.050	NA	NA
394	206	rosanne	Arecaceae	Euterpe edulis	EUEDUL	isoz	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	NA	NA	100.000	NA	-0.265	NA	NA
332	58	rosanne	Arecaceae	Euterpe edulis	EUEDUL	ssrnuc	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	0.060	0.750	NA	NA	0.120	NA	NA
333	164	rosanne	Arecaceae	Euterpe edulis	EUEDUL	isoz	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	0.020	3.100	NA	NA	0.002	NA	NA
333	164	rosanne	Arecaceae	Euterpe edulis	EUEDUL	ssrnuc	Palm	birds	bi	b	small bees	sbe	wide	mixed	NA	NA	0.020	14.460	NA	NA	0.008	NA	NA
165	133	rosanne	Arecaceae	Geonoma schottiana	GESCHO	isoz	Palm	birds	bi	b	small bees	sbe	restric	sdtf	NA	NA	0.140	2.000	100.000	NA	-0.343	NA	NA
423	82	rosanne	Arecaceae	Iriartea deltoidea	IRDELT	AFLP	Palm	mammals	ma	mi	small bees	sbe	wide	rainforest	NA	NA	NA	NA	NA	NA	NA	NA	NA
183	155	rosanne	Arecaceae	Mauritia flexuosa	MAFLEX	AFLP	Palm	mammals	ma	md	small bees	sbe	wide	wetlands	NA	NA	0.230	NA	86.400	NA	NA	NA	NA
