order	family	genus	species	binomial	bmass	blength	homerangekm2	homerangeindkm2	popdens.n-km2	gr_area-km2	gr_maxlat-dd
Rodentia	Ctenomyidae	Ctenomys	talarum	Ctenomys talarum	140.84	-999	0.000020373	0.0000187442	5187.48	216393.6	-34.86
Rodentia	Ctenomyidae	Ctenomys	haigi	Ctenomys haigi	164	173.49	0.0000329744	0.0000259929	-999	25958.86	-39.61
Rodentia	Cricetidae	Neofiber	alleni	Neofiber alleni	265.38	199.49	0.0000379558	0.0000453855	14515.71	100572.2	31.24
Soricomorpha	Talpidae	Parascalops	breweri	Parascalops breweri	51.11	127.05	0.0000415528	0.0000444269	900	832754.59	47.73
Rodentia	Geomyidae	Thomomys	monticola	Thomomys monticola	80.99	-999	0.0000573596	0.000073155	2814	52761.97	41.75
Rodentia	Cricetidae	Microtus	californicus	Microtus californicus	57.42	138.8	0.0000667285	0.0000626032	13127.21	307995.54	44.34
Rodentia	Spalacidae	Tachyoryctes	splendens	Tachyoryctes splendens	227.13	197.65	0.0000780443	0.0000732194	3385.42	396020.93	13.99
Rodentia	Octodontidae	Spalacopus	cyanus	Spalacopus cyanus	100.86	132.78	0.0000786164	0.0000403	4500	76659.01	-26.92
Rodentia	Cricetidae	Microtus	canicaudus	Microtus canicaudus	29.93	110.89	0.0000842627	0.0000775259	-999	8888.55	45.87
Soricomorpha	Soricidae	Sorex	unguiculatus	Sorex unguiculatus	14.11	75.49	0.0000851806	0.000078193	3093.28	788677.6	55.24
Rodentia	Geomyidae	Thomomys	mazama	Thomomys mazama	93.07	144.99	0.0000905052	0.0000760941	3578.84	80946.15	48.14
Rodentia	Geomyidae	Thomomys	bottae	Thomomys bottae	122.7	156.56	0.0000989232	0.0000779787	5250	1976663.3	42.33
Rodentia	Muridae	Meriones	hurrianae	Meriones hurrianae	71.02	-999	0.000103565	0.000116035	-999	898859.94	33.67
Rodentia	Cricetidae	Microtus	montanus	Microtus montanus	42.85	124.17	0.000118315	0.000111001	3160	1453963.15	52.88
Rodentia	Bathyergidae	Heliophobius	argenteocinereus	Heliophobius argenteocinereus	159.46	154.53	0.000134237	0.000125938	5800	2206524.59	-0.9
Soricomorpha	Soricidae	Neomys	fodiens	Neomys fodiens	15.26	81.94	0.000156744	0.000169697	320	12748836.64	71.13
