id	idpaper	fam	sp	spcode	marker	nloci	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	npop	nind	meanIndiPop	diverhaplot	divernucleot	FST	AllelesLocus	Porcpoliloci 	AllelicRichness	Ho	He	FIS 	shannon_Hpop	Shanno_Hsp	mantel	coalesc_param	fp	fm	phi_FT	tm	ts	tm-ts	rp	rs	nb	Sp	Fij	distpollen	distgeneflow	Nep	Moranspatialfirstclass	bslope	rt
246	248	Acanthaceae	Avicennia bicolor	AVBICO	nucl	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	4.0	16.0	NA	NA	0.570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
247	248	Acanthaceae	Avicennia bicolor	AVBICO	chlorop	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	48.0	16.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
248	248	Acanthaceae	Avicennia bicolor	AVBICO	ssrnuc	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	48.0	16.0	NA	NA	0.490	NA	NA	1.680	0.160	NA	0.220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
249	248	Acanthaceae	Avicennia germinans	AVGERM	nucl	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	119.0	39.6	NA	NA	0.570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
250	248	Acanthaceae	Avicennia germinans	AVGERM	chlorop	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	119.0	39.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
251	248	Acanthaceae	Avicennia germinans	AVGERM	ssrnuc	14	Tree	hidrochory 	hi	n	small bees	sbe	wide	Mangrooves	3	119.0	39.6	NA	NA	0.490	NA	NA	3.770	0.550	NA	0.010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
185	2	Anacardiaceae	Myracrodruon urundeuva	MYURUN	isoz	8	Tree	wind	wi	n	small bees	sbe	wide	sdtf	2	60.0	30.0	NA	NA	NA	NA	NA	1.450	0.099	0.075	0.317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
244	23	Anacardiaceae	Myracrodruon urundeuva	MYURUN	ssrnuc	11	Tree	wind	wi	n	small bees	sbe	wide	sdtf	53	1048.0	19.8	NA	NA	0.160	18.750	NA	6.460	0.617	0.661	0.077	NA	NA	0.7500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	23	Anacardiaceae	Myracrodruon urundeuva	MYURUN	chlorop	11	Tree	wind	wi	n	small bees	sbe	wide	sdtf	53	1048.0	19.8	NA	NA	0.970	NA	NA	NA	NA	NA	NA	NA	NA	0.5900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
403	15	Anacardiaceae	Myracrodruon urundeuva	MYURUN	isoz	5	Tree	wind	wi	n	small bees	sbe	wide	sdtf	2	55.0	27.5	NA	NA	0.040	2.330	61.500	NA	0.422	0.363	-0.156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	78	Anarcadiaceae	Myracrodruon urundeuva	MYURUN	ssrnuc	5	Tree	wind	wi	n	small bees	sbe	wide	sdtf	1	514.0	514.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1470	NA	NA	1.0000	0.9800	0.0200	0.1480	NA	NA	NA	NA	NA	NA	6.8000	NA	NA	NA
NA	79	Anarcadiaceae	Myracrodruon urundeuva	MYURUN	AFLP	11	Tree	wind	wi	n	small bees	sbe	wide	sdtf	1	270.0	270.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1850	-0.3000	NA	0.9400	1.0880	-0.1490	0.4030	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	10	Anacardiaceae	Spondias mombin	SPMOMB	nucl	2	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	3	18.0	6.0	0.95800	0.02047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
107	10	Anacardiaceae	Spondias mombin	SPMOMB	chlorop	2	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	3	18.0	6.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	199	Anacardiaceae	Spondias mombin	SPMOMB	isoz	11	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	4	130.0	32.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	221	Anacardiaceae	Spondias mombin	SPMOMB	isoz	5	Tree	mammals	ma	md	small bees	sbe	wide	rainforest	1	172.0	172.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1400	1.1380	0.0020	NA	NA	NA	NA	NA	300.0	NA	NA	NA	NA	NA
108	10	Anacardiaceae	Spondias purpurea	SPPURP	nucl	2	Tree	mammals	ma	md	small bees	sbe	wide	sdtf	15	75.0	5.0	0.95800	0.02047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
